Datetime,Miner Reserve
2024-06-19T00:00:00Z,1818450.45476798
2024-06-18T00:00:00Z,1818404.32991468
2024-06-17T00:00:00Z,1818384.92412429
2024-06-16T00:00:00Z,1818919.41360215
2024-06-15T00:00:00Z,1818714.21399971
2024-06-14T00:00:00Z,1819469.26740924
2024-06-13T00:00:00Z,1819223.63523146
2024-06-12T00:00:00Z,1818791.86311286
2024-06-11T00:00:00Z,1818404.24936055
2024-06-10T00:00:00Z,1819016.92368566
2024-06-09T00:00:00Z,1819201.18010818
2024-06-08T00:00:00Z,1819267.27789764
2024-06-07T00:00:00Z,1823792.79646596
2024-06-06T00:00:00Z,1819083.17892689
2024-06-05T00:00:00Z,1818983.60279218
2024-06-04T00:00:00Z,1819718.07155894
2024-06-03T00:00:00Z,1819345.71952571
2024-06-02T00:00:00Z,1819459.00006969
2024-06-01T00:00:00Z,1819295.47979302
2024-05-31T00:00:00Z,1819801.92218354
2024-05-30T00:00:00Z,1820178.16760738
2024-05-29T00:00:00Z,1819452.21440784
2024-05-28T00:00:00Z,1819624.97698398
2024-05-27T00:00:00Z,1819185.19469872
2024-05-26T00:00:00Z,1819187.97103037
2024-05-25T00:00:00Z,1819418.68710949
2024-05-24T00:00:00Z,1819569.51099183
2024-05-23T00:00:00Z,1819710.52415145
2024-05-22T00:00:00Z,1819592.40017281
2024-05-21T00:00:00Z,1821323.18349297
2024-05-20T00:00:00Z,1822889.95753132
2024-05-19T00:00:00Z,1821145.81840017
2024-05-18T00:00:00Z,1821221.13279968
2024-05-17T00:00:00Z,1822080.65597047
2024-05-16T00:00:00Z,1822012.1180504
2024-05-15T00:00:00Z,1822316.07152893
2024-05-14T00:00:00Z,1821982.40600405
2024-05-13T00:00:00Z,1822024.24380538
2024-05-12T00:00:00Z,1822285.94121655
2024-05-11T00:00:00Z,1821995.92512712
2024-05-10T00:00:00Z,1822148.76379637
2024-05-09T00:00:00Z,1822430.33680208
2024-05-08T00:00:00Z,1822762.42960382
2024-05-07T00:00:00Z,1822990.69826303
2024-05-06T00:00:00Z,1822798.83066048
2024-05-05T00:00:00Z,1822894.07019957
2024-05-04T00:00:00Z,1822611.5636357
2024-05-03T00:00:00Z,1822932.52700083
2024-05-02T00:00:00Z,1822753.62520142
2024-05-01T00:00:00Z,1823932.58319824
2024-04-30T00:00:00Z,1823299.48254169
2024-04-29T00:00:00Z,1823196.4802007
2024-04-28T00:00:00Z,1822839.41846338
2024-04-27T00:00:00Z,1822846.98156545
2024-04-26T00:00:00Z,1823286.11841526
2024-04-25T00:00:00Z,1822941.34457733
2024-04-24T00:00:00Z,1824880.46101498
2024-04-23T00:00:00Z,1830865.08925665
2024-04-22T00:00:00Z,1827389.77763326
2024-04-21T00:00:00Z,1826261.98641917
2024-04-20T00:00:00Z,1826748.13469251
2024-04-19T00:00:00Z,1826909.93594899
2024-04-18T00:00:00Z,1825295.73572328
2024-04-17T00:00:00Z,1824133.84920412
2024-04-16T00:00:00Z,1823355.19230465
2024-04-15T00:00:00Z,1824220.96221476
2024-04-14T00:00:00Z,1823467.14116481
2024-04-13T00:00:00Z,1824238.27268073
2024-04-12T00:00:00Z,1824501.09287401
2024-04-11T00:00:00Z,1824601.53382074
